Scientific_Name,English_Name,Tarsus_Length,Bill_Total_Length,Wing_Chord,Bill_Width,Bill_Depth,Wing_pointedness,Tail_Length,Gape_width
Conopophaga aurita,Chestnut-belted Gnateater,27.65,15.66,68.31,5.87,4.35,13.97,32,NA
Conopophaga castaneiceps,Chestnut-crowned Gnateater,29.04,20.76,73.41,5.85,4.48,11.23,41.83,NA
Conopophaga cearae,Ceara Gnateater,26.9,15.17,69.59,5.22,4.63,8.85,42.97,NA
Conopophaga lineata,Rufous Gnateater,28.28,16.64,70.27,4.92,4.01,10.29,44.6,NA
Conopophaga melanogaster,Black-bellied Gnateater,33.16,20.1,79.93,6.23,5.22,11.1,41.17,12.1
Conopophaga melanops,Black-cheeked Gnateater,25.4,15.98,64.48,5.58,4.9,13.21,28.27,NA
Conopophaga peruviana,Ash-throated Gnateater,25.76,17.48,65.69,6.17,4.54,16.71,30.63,NA
Conopophaga roberti,Hooded Gnateater,27.03,16.28,70.05,5.72,4.24,10.77,35.73,NA
Contopus albogularis,White-throated Pewee,9.53,11.8,61.17,5.17,3.62,22.3,55.65,8.35
Contopus caribaeus,Cuban Pewee,15.27,18.05,72.32,6.98,4.28,23.35,60.55,9.92
Contopus cinereus,Tropical Pewee,12.79,15.16,69.89,6.58,3.47,23.41,62.28,9.92
Contopus cooperi,Olive-sided Flycatcher,14.95,19.33,101.62,8.18,6.2,37.83,66.75,NA
Contopus fumigatus,Smoke-colored Pewee,15.39,20.28,92.27,6.9,5.28,28.19,77.89,11.6
Contopus hispaniolensis,Hispaniolan Pewee,14.78,17.45,74.38,6,3.62,24.23,65.28,NA
Contopus latirostris,Lesser Antillean Pewee,15.22,15.74,69.1,6.4,3.15,19.3,60.4,NA
Contopus lugubris,Dark Pewee,15.18,21.65,91.62,6.92,4.92,28.2,73,NA
Contopus nigrescens,Blackish Pewee,11.9,13.45,66.75,4.7,3.12,27.93,62.75,NA
Contopus ochraceus,Ochraceous Pewee,15.78,19.96,90,7.72,4.9,24.96,71,11
Contopus pallidus,Jamaican Pewee,13.68,16.65,69.75,6.03,3.12,22.77,63.5,NA
Contopus pertinax,Greater Pewee,16.98,23,108.33,7.78,5.58,28.3,83,NA
Contopus sordidulus,Western Wood Pewee,12.75,17,86.75,6.35,4.12,33.45,63.75,NA
Contopus virens,Eastern Wood Pewee,12.72,15.6,82.8,5.9,4.12,30.95,61.6,NA
Corapipo altera,White-ruffed Manakin,15.85,10.1,58,3.52,3.65,18.77,28.5,7.08
Corapipo gutturalis,White-throated Manakin,15.03,9.95,56.5,3.15,3.2,20.6,27.5,6.3
Corapipo leucorrhoa,White-bibbed Manakin,15.56,9.96,58.6,3.27,3.67,18.88,29,6.85
Corydon sumatranus,Dusky Broadbill,25.05,27.27,131.19,20.77,15.76,21.07,92.07,29.53
Coryphistera alaudina,Lark-like Brushrunner,25,16.26,72.96,3.71,4.55,15.85,66.6,8.43
Corythopis delalandi,Southern Antpipit,23.2,15.45,63.75,3.85,3.38,13.4,48.5,NA
Corythopis torquatus,Ringed Antpipit,25.94,15.85,66,4.33,3.55,17.25,52.88,NA
Cotinga amabilis,Lovely Cotinga,21.68,18.1,107.62,5.35,5.76,24.02,71,13.14
Cotinga cayana,Spangled Cotinga,20.82,21.72,111.29,6.75,6.36,20.03,77.89,16.43
Cotinga cotinga,Purple-breasted Cotinga,20.73,16.73,105.25,5.62,4.85,21.95,65.25,15.82
Cotinga maculata,Banded Cotinga,22.5,17.43,114.25,5.92,5.35,26.02,71.5,15.6
Cotinga maynana,Plum-throated Cotinga,22.27,20,113.83,5.17,5.95,24.62,75.75,15.38
Cotinga nattererii,Blue Cotinga,22.5,18.1,111.75,6,5.7,24.8,76.75,15.93
Cotinga ridgwayi,Turquoise Cotinga,20.15,17.15,102.88,5.22,5.15,25.3,66.12,12.8
Cranioleuca albicapilla,Creamy-crested Spinetail,22.34,17.1,74.76,3.12,4.2,14.26,83.2,8.05
Cranioleuca albiceps,Light-crowned Spinetail,20.56,16.23,64.85,2.91,3.76,11.89,67,7.07
Cranioleuca antisiensis,Line-cheeked Spinetail,21.56,15.96,70.17,3.04,3.98,13.15,77.08,8.03
Cranioleuca curtata,Ash-browed Spinetail,17.7,14.67,63.7,3.09,3.68,17.1,71.21,7.13
Cranioleuca demissa,Tepui Spinetail,17.6,13.5,60.62,3.12,3.52,15.15,64,7
